problem_id,topic,difficulty,statement,student_attempt_zh,target_history_tokens,interference,response,blind_id,教學契約保持_1to5,數學方向正確_1to5,是否只推進一個步驟_1to5,是否抓到最根本漏洞_1to5,評語
C3,Continuity,hard,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.","因為 [a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值，因此 f 是常數函數。",2048,neutral,「不可數對可數」這個直覺在連續函數上不成立，因為可數集可以密佈不可數集。你能舉出一個取值都在有理數上的非常數連續函數嗎？,AD-0162,,,,,
C1,Continuity,easy,"Prove that if \(f\) is continuous on \([0,1]\) and \(f(x)>0\) for every \(x\in[0,1]\), then there exists \(c>0\) such that \(f(x)\ge c\) for all \(x\in[0,1]\).","因為每一點都有 f(x)>0，所以令 c=inf_{x in [0,1]} f(x)。那麼 c 自動大於 0，因此結論成立。",2048,neutral,"你說「令 $c = \inf_{x \in [0,1]} f(x)$」，並認為 $c > 0$ 所以結論成立——但這裡有沒有**保證**這個下界 $c$ 是實際被達成的？也就是說，是否真的存在某個 $c > 0$，使得 $f(x) \ge c$ 對所有 $x$ 成立？

請問：你怎麼知道 $\inf f(x)$ 一定會被 $f(x)$ 本身「達到」，還是只是「接近」？  
（提示：連續函數在閉區間上的極值性質，可能與這個下界有關。）",AD-0002,,,,,
I2,Integration,medium,"Prove that if \(f\) is continuous on \([a,b]\), \(\int_a^b f(x)\,dx=0\), and \(f(x)\ge 0\) for all \(x\), then \(f(x)=0\) for all \(x\in[a,b]\).",積分平均值是零，所以積分中值定理給出某個 c 使 f(c)=0。再由連續性可得所有 x 都有 f(x)=0。,2048,neutral,為什麼由 f(c)=0 和 f 連續，能推出 f(x)=0 對所有 x？,AD-0262,,,,,
S1,Sequences and Series,easy,"Prove that if \(\sum a_n\) converges absolutely and \((b_n)\) is bounded, then \(\sum a_nb_n\) converges absolutely.",有界數列 b_n 必收斂到某個 B，因此 a_n b_n 的行為像 B a_n，所以級數絕對收斂。,8192,conflict,你說「有界數列 $b_n$ 必收斂」，這是錯誤的。請問：是否存在一個有界數列 $(b_n)$，它不收斂卻仍滿足條件？試舉一個例子。,AD-0125,,,,,
D1,Differentiation,easy,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(f'(x)>0\) for all \(x\in\mathbb{R}\), then \(f\) is one-to-one.",因為 f'(x)>0，所以每個 x 都有 f(x)>0。正函數不可能取兩次相同的值，因此 f 是一對一。,2048,neutral,「f'(x)>0」推出的是函數值的正負號，而不是單調性。你能舉一個在 \(\mathbb{R}\) 上導數為正卻非單調的函數嗎？,AD-0167,,,,,
C2,Continuity,medium,"Prove that if \(f\) is continuous on \([a,b]\) and \(f(x)\neq 0\) for all \(x\in[a,b]\), then \(f\) has the same sign on all of \([a,b]\).",函數從不等於零，所以它不可能變號，因此在整個區間上同號。,2048,neutral,"你說「函數從不等於零，所以它不可能變號」——但為什麼「不等於零」就意味著「不會變號」呢？  
請問：是否存在一個連續函數，在區間內永遠不為零，卻仍然在某點由正變負（或反之）？  
（提示：想想極值與介值性質。）",AD-0082,,,,,
D2,Differentiation,medium,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(|f'(x)|\le M\) for all \(x\), then \(|f(x)-f(y)|\le M|x-y|\) for all real \(x,y\).",直接把不等式 |f'|<=M 從 y 積分到 x，就立即得到 |f(x)-f(y)|<=M|x-y|。,2048,neutral,,AD-0247,,,,,
S2,Sequences and Series,medium,"Prove that if a sequence \((x_n)\) is increasing and bounded above, then the sequence \((\sin x_n)\) need not be increasing, but it must have a convergent subsequence.",因為 x_n 遞增且 sine 連續，所以 sin(x_n) 也遞增。它又有界，因此有收斂子數列。,0,neutral,「遞增」不是連續映射保有的性質。取 \(x_n = n\pi\)，它是遞增的，\(\sin x_n\) 是什麼樣的？,AD-0201,,,,,
L1,Limits,easy,"Prove that if \(a_n\to 0\) and \((b_n)\) is bounded, then \(a_nb_n\to 0\).",由極限的乘法法則，lim(a_n b_n)=(lim a_n)(lim b_n)=0，所以乘積趨近零。,8192,conflict,你假設了 \(\lim b_n\) 存在，但題目只說 \((b_n)\) 是有界的——這是否構成關鍵漏洞？,AD-0140,,,,,
L1,Limits,easy,"Prove that if \(a_n\to 0\) and \((b_n)\) is bounded, then \(a_nb_n\to 0\).",由極限的乘法法則，lim(a_n b_n)=(lim a_n)(lim b_n)=0，所以乘積趨近零。,2048,neutral,你假設了 lim b_n 存在，但題目只說 (b_n) 是有界的——這是否構成關鍵漏洞？,AD-0137,,,,,
L3,Limits,hard,"Prove that if \(f\) is continuous on \([0,1]\), then \(\lim_{n\to\infty}\int_0^1 f(x)x^n\,dx=0\).","對每個 x in [0,1]，x^n 都趨近零，所以 f(x)x^n 逐點趨近零；逐點收斂一定允許交換極限與積分。",2048,conflict,"你說「逐點收斂一定允許交換極限與積分」——這正是目前最根本的漏洞。

請問：在什麼條件下，可以將 \(\lim_{n\to\infty} \int_0^1 f(x) x^n\,dx\) 和 \(\int_0^1 \lim_{n\to\infty} f(x) x^n\,dx\) 交換？  
特別是，\(f(x)x^n\) 在 \([0,1]\) 上是否真的滿足可積性與統一收斂的條件？  

（提示：考慮 \(x=1\) 的行為，以及 \(f\) 是否有界）",AD-0073,,,,,
L3,Limits,hard,"Prove that if \(f\) is continuous on \([0,1]\), then \(\lim_{n\to\infty}\int_0^1 f(x)x^n\,dx=0\).","對每個 x in [0,1]，x^n 都趨近零，所以 f(x)x^n 逐點趨近零；逐點收斂一定允許交換極限與積分。",8192,conflict,"你說「x^n 在 [0,1] 上逐點趨近於 0」，這沒錯——但請問：在 x = 1 的鄰域附近，x^n 的收斂是「均勻」的嗎？如果不是，那麼你能否找到一個不依賴於 f 的連續性，卻能控制 ∫₀¹ |f(x)xⁿ| dx 的方法？",AD-0150,,,,,
L2,Limits,medium,"Prove that if \(a_n\to L\) and \(f\) is continuous at \(L\), then \(f(a_n)\to f(L)\).",因為 a_n 趨近 L，所以最後 a_n 會等於 L，因此最後 f(a_n)=f(L)，這就證明了收斂。,2048,neutral,你說「最後 aₙ 會等於 L」，這是否符合數列趨近的定義？請問：數列趨近 L 意味著什麼？它是否意味著某項會真正等於 L？,AD-0142,,,,,
C2,Continuity,medium,"Prove that if \(f\) is continuous on \([a,b]\) and \(f(x)\neq 0\) for all \(x\in[a,b]\), then \(f\) has the same sign on all of \([a,b]\).",函數從不等於零，所以它不可能變號，因此在整個區間上同號。,2048,conflict,"你說「函數從不等於零，所以它不可能變號」——但為什麼「不等於零」就意味著「不會變號」呢？  
請問：是否存在一個連續函數，在區間內永遠不為零，卻仍然在某點由正變負（或反之）？  
（提示：考慮極值性質。）",AD-0083,,,,,
S2,Sequences and Series,medium,"Prove that if a sequence \((x_n)\) is increasing and bounded above, then the sequence \((\sin x_n)\) need not be increasing, but it must have a convergent subsequence.",因為 x_n 遞增且 sine 連續，所以 sin(x_n) 也遞增。它又有界，因此有收斂子數列。,2048,conflict,正弦函數是否在所有實數上都遞增？,AD-0278,,,,,
C1,Continuity,easy,"Prove that if \(f\) is continuous on \([0,1]\) and \(f(x)>0\) for every \(x\in[0,1]\), then there exists \(c>0\) such that \(f(x)\ge c\) for all \(x\in[0,1]\).","因為每一點都有 f(x)>0，所以令 c=inf_{x in [0,1]} f(x)。那麼 c 自動大於 0，因此結論成立。",8192,conflict,"這裡有一個極其常見的誤解：你把「每個點都為正」等同於「下確界為正」。但 \(1/x\) 在 \((0,1]\) 的下確界是什麼？",AD-0155,,,,,
I1,Integration,easy,"Prove that if \(f\) is continuous on \([0,1]\), then \(\int_0^1 f(x)\,dx=\int_0^1 f(1-x)\,dx\).","在被積函數中把 x 換成 1-x。因為積分區間仍是 [0,1]，兩個積分自動相等。",8192,neutral,你說「把 x 換成 1−x」，這會改變被積函數的形式，但這一步是否真的能讓積分值不變？請問：這一步操作，是「改變變數」，還是「偷偷加上了新的假設」？,AD-0109,,,,,
D3,Differentiation,hard,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",因為 f'(x) 永不為零，而且導數是連續的，所以 f' 同號，故 f 單調並且至多有一個零點。,8192,neutral,題目中是否保證 f' 是連續的？,AD-0254,,,,,
C1,Continuity,easy,"Prove that if \(f\) is continuous on \([0,1]\) and \(f(x)>0\) for every \(x\in[0,1]\), then there exists \(c>0\) such that \(f(x)\ge c\) for all \(x\in[0,1]\).","因為每一點都有 f(x)>0，所以令 c=inf_{x in [0,1]} f(x)。那麼 c 自動大於 0，因此結論成立。",2048,conflict,"這裡有一個極其常見的誤解：你把「每個點都為正」等同於「下確界為正」。但 \(f(x)=x\) 在 \((0,1)\) 上每點都為正，它的下確界卻是什麼？",AD-0153,,,,,
C1,Continuity,easy,"Prove that if \(f\) is continuous on \([0,1]\) and \(f(x)>0\) for every \(x\in[0,1]\), then there exists \(c>0\) such that \(f(x)\ge c\) for all \(x\in[0,1]\).","因為每一點都有 f(x)>0，所以令 c=inf_{x in [0,1]} f(x)。那麼 c 自動大於 0，因此結論成立。",2048,conflict,"你說「令 $c = \inf_{x \in [0,1]} f(x)$」，並認為 $c > 0$，所以結論成立。

但這裡有一個根本問題：  
**你是否真的知道 $\inf f(x)$ 是可以達到的？還是只是一個下界？**

請問：  
**為什麼你能夠斷言 $\inf_{x\in[0,1]} f(x) > 0$，而不需要證明它其實是某個實際值？**  

（提示：連續函數在閉區間上是否有最小值？）",AD-0003,,,,,
I1,Integration,easy,"Prove that if \(f\) is continuous on \([0,1]\), then \(\int_0^1 f(x)\,dx=\int_0^1 f(1-x)\,dx\).","在被積函數中把 x 換成 1-x。因為積分區間仍是 [0,1]，兩個積分自動相等。",0,neutral,當 x 從 0 到 1 時，1 - x 從何處到何處？,AD-0256,,,,,
C2,Continuity,medium,"Prove that if \(f\) is continuous on \([a,b]\) and \(f(x)\neq 0\) for all \(x\in[a,b]\), then \(f\) has the same sign on all of \([a,b]\).",函數從不等於零，所以它不可能變號，因此在整個區間上同號。,2048,neutral,「從不等於零」確實排除了零點，但連續性還沒被用上。若 \(f\) 只是不為零卻不連續，它真的一定保持同一正負號嗎？,AD-0157,,,,,
L1,Limits,easy,"Prove that if \(a_n\to 0\) and \((b_n)\) is bounded, then \(a_nb_n\to 0\).",由極限的乘法法則，lim(a_n b_n)=(lim a_n)(lim b_n)=0，所以乘積趨近零。,2048,conflict,"你用了「極限的乘法法則」，但這個法則的前提是 **兩個序列都收斂**。  
而目前已知的條件是：$a_n \to 0$，$(b_n)$ 是有界的——但 $b_n$ **不一定收斂**。  

請問：你是否確認過「乘法法則」適用於 $b_n$ 收斂？如果 $b_n$ 不收斂，這個推導哪裡出了問題？  

（請回答：你是否真的知道 $b_n$ 收斂？）",AD-0063,,,,,
L2,Limits,medium,"Prove that if \(a_n\to L\) and \(f\) is continuous at \(L\), then \(f(a_n)\to f(L)\).",因為 a_n 趨近 L，所以最後 a_n 會等於 L，因此最後 f(a_n)=f(L)，這就證明了收斂。,8192,neutral,"你說「最後 a_n 會等於 L」——這是否符合數列趨近的定義？  
請問：數列趨近某點，是表示它「最終等於」那個點，還是「可以任意接近但永不等於」？",AD-0069,,,,,
L2,Limits,medium,"Prove that if \(a_n\to L\) and \(f\) is continuous at \(L\), then \(f(a_n)\to f(L)\).",因為 a_n 趨近 L，所以最後 a_n 會等於 L，因此最後 f(a_n)=f(L)，這就證明了收斂。,0,neutral,序列 a_n 收斂到 L 時，是否會在某個有限項後等於 L？,AD-0291,,,,,
S1,Sequences and Series,easy,"Prove that if \(\sum a_n\) converges absolutely and \((b_n)\) is bounded, then \(\sum a_nb_n\) converges absolutely.",有界數列 b_n 必收斂到某個 B，因此 a_n b_n 的行為像 B a_n，所以級數絕對收斂。,2048,neutral,你說「有界數列 $b_n$ 必收斂」，這是否正確？能否舉出一個有界但不收斂的數列？,AD-0122,,,,,
S2,Sequences and Series,medium,"Prove that if a sequence \((x_n)\) is increasing and bounded above, then the sequence \((\sin x_n)\) need not be increasing, but it must have a convergent subsequence.",因為 x_n 遞增且 sine 連續，所以 sin(x_n) 也遞增。它又有界，因此有收斂子數列。,8192,conflict,"你說「因為 $x_n$ 遞增且 sine 連續，所以 $\sin(x_n)$ 也遞增」——這是最根本的錯誤。

請問：sine 函數是單調的嗎？當 $x_n$ 增大時，$\sin x_n$ 會不會一定增大？舉個反例看看。",AD-0055,,,,,
S1,Sequences and Series,easy,"Prove that if \(\sum a_n\) converges absolutely and \((b_n)\) is bounded, then \(\sum a_nb_n\) converges absolutely.",有界數列 b_n 必收斂到某個 B，因此 a_n b_n 的行為像 B a_n，所以級數絕對收斂。,8192,neutral,「有界」不等於「收斂」，所以 b_n 不一定會收斂到某個 B。你能舉一個有界卻不收斂的數列嗎？,AD-0199,,,,,
L3,Limits,hard,"Prove that if \(f\) is continuous on \([0,1]\), then \(\lim_{n\to\infty}\int_0^1 f(x)x^n\,dx=0\).","對每個 x in [0,1]，x^n 都趨近零，所以 f(x)x^n 逐點趨近零；逐點收斂一定允許交換極限與積分。",0,neutral,"逐點收斂不保證可交換極限與積分，因為沒有統一的上界。你能找到一個在 [0,1] 上使 \(|f(x)x^n|\) 被壓住的函數嗎?",AD-0221,,,,,
L1,Limits,easy,"Prove that if \(a_n\to 0\) and \((b_n)\) is bounded, then \(a_nb_n\to 0\).",由極限的乘法法則，lim(a_n b_n)=(lim a_n)(lim b_n)=0，所以乘積趨近零。,8192,neutral,b_n 是否收斂？,AD-0289,,,,,
C3,Continuity,hard,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.","因為 [a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值，因此 f 是常數函數。",8192,neutral,你的證明中，為什麼沒有利用 f 的連續性？,AD-0239,,,,,
I1,Integration,easy,"Prove that if \(f\) is continuous on \([0,1]\), then \(\int_0^1 f(x)\,dx=\int_0^1 f(1-x)\,dx\).","在被積函數中把 x 換成 1-x。因為積分區間仍是 [0,1]，兩個積分自動相等。",8192,neutral,「區間相同」不是論證，它只是把兩個積分放在一起比較。要嚴謹，你得先說明變動變數後，積分的值真的不變。你能用哪個定理把「變數代換不改變積分值」正式化嗎?,AD-0184,,,,,
L2,Limits,medium,"Prove that if \(a_n\to L\) and \(f\) is continuous at \(L\), then \(f(a_n)\to f(L)\).",因為 a_n 趨近 L，所以最後 a_n 會等於 L，因此最後 f(a_n)=f(L)，這就證明了收斂。,2048,neutral,序列 a_n 有最後一項嗎？,AD-0292,,,,,
L3,Limits,hard,"Prove that if \(f\) is continuous on \([0,1]\), then \(\lim_{n\to\infty}\int_0^1 f(x)x^n\,dx=0\).","對每個 x in [0,1]，x^n 都趨近零，所以 f(x)x^n 逐點趨近零；逐點收斂一定允許交換極限與積分。",2048,conflict,x=1 時，x^n 是否趨近於 0？,AD-0298,,,,,
I3,Integration,hard,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",取 g(x)=sign(f(x))，則假設給出 integral_a^b |f(x)| dx=0，所以 f=0。,8192,neutral,在 f 連續的情況下，sign(f(x)) 是否連續？,AD-0269,,,,,
S3,Sequences and Series,hard,"Prove that if a power series \(\sum c_nx^n\) converges at \(x=r>0\), then it converges absolutely for every \(x\) with \(|x|<r\).",使用比值判別法：|c_{n+1}x^{n+1}/(c_nx^n)|=|x|/r<1，因為級數在 r 收斂。,2048,conflict,"你說「|c_{n+1}x^{n+1}/(c_nx^n)| = |x|/r < 1」，但這個等式成立的前提是什麼？  
你是否假設了 $\left|\frac{c_{n+1}}{c_n}\right|$ 是有明確值的，或者你真的知道 $\left|\frac{c_{n+1}}{c_n}\right| \to \frac{1}{r}$？  

請問：你如何從「級數在 $x = r$ 收斂」推出 $\left|\frac{c_{n+1}}{c_n}\right|$ 的行為？  

（提示：比值判別法需要 $\limsup \left|\frac{c_{n+1}}{c_n}\right|$，而不是單純的比值）",AD-0058,,,,,
I1,Integration,easy,"Prove that if \(f\) is continuous on \([0,1]\), then \(\int_0^1 f(x)\,dx=\int_0^1 f(1-x)\,dx\).","在被積函數中把 x 換成 1-x。因為積分區間仍是 [0,1]，兩個積分自動相等。",2048,neutral,「把變數換了，區間不變，所以兩者相等」是直覺，但這一步需要嚴謹的引用。你能找到一個標準的積分性質，正式把「變元代換」轉成合法的等式嗎？,AD-0182,,,,,
I2,Integration,medium,"Prove that if \(f\) is continuous on \([a,b]\), \(\int_a^b f(x)\,dx=0\), and \(f(x)\ge 0\) for all \(x\), then \(f(x)=0\) for all \(x\in[a,b]\).",積分平均值是零，所以積分中值定理給出某個 c 使 f(c)=0。再由連續性可得所有 x 都有 f(x)=0。,2048,neutral,「積分平均值是零」這個說法本身就有問題，因為積分平均值是 \(\frac1{b-a}\int f\)，而這裡的條件是 \(\int f=0\)。正確的中間引理應該是哪個？,AD-0187,,,,,
D3,Differentiation,hard,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",因為 f'(x) 永不為零，而且導數是連續的，所以 f' 同號，故 f 單調並且至多有一個零點。,2048,neutral,"你說「導數是連續的」，這是否在題目中被給出？題目只說 $f$ 是連續且可微的，並未保證 $f'$ 連續。  
請問：你是否真的能從 $f'(x) \neq 0$ 推出 $f'$ 連續？還是說這只是你心裡的直覺？  

→ 現在請問：**導數 $f'$ 是否一定連續？**",AD-0027,,,,,
D3,Differentiation,hard,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",因為 f'(x) 永不為零，而且導數是連續的，所以 f' 同號，故 f 單調並且至多有一個零點。,0,neutral,「導數永不為零」並不能推出「導數同號」，因為導數未必連續。若 \(f'\) 只在開區間內不為零但變號，\(f\) 會如何？,AD-0176,,,,,
I2,Integration,medium,"Prove that if \(f\) is continuous on \([a,b]\), \(\int_a^b f(x)\,dx=0\), and \(f(x)\ge 0\) for all \(x\), then \(f(x)=0\) for all \(x\in[a,b]\).",積分平均值是零，所以積分中值定理給出某個 c 使 f(c)=0。再由連續性可得所有 x 都有 f(x)=0。,2048,neutral,你說「積分平均值是零」，這句話的邏輯基礎是什麼？請先明確指出：積分為零，是否等同於函數值的「平均值」為零？,AD-0112,,,,,
C1,Continuity,easy,"Prove that if \(f\) is continuous on \([0,1]\) and \(f(x)>0\) for every \(x\in[0,1]\), then there exists \(c>0\) such that \(f(x)\ge c\) for all \(x\in[0,1]\).","因為每一點都有 f(x)>0，所以令 c=inf_{x in [0,1]} f(x)。那麼 c 自動大於 0，因此結論成立。",2048,conflict,你說「c = inf f(x)」，但為什麼可以斷言這個下界 c > 0？是否真的有理由保證這個下界是正數，而不是零？,AD-0078,,,,,
L2,Limits,medium,"Prove that if \(a_n\to L\) and \(f\) is continuous at \(L\), then \(f(a_n)\to f(L)\).",因為 a_n 趨近 L，所以最後 a_n 會等於 L，因此最後 f(a_n)=f(L)，這就證明了收斂。,8192,conflict,收斂序列是否一定在有限步後等於 L？,AD-0295,,,,,
D1,Differentiation,easy,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(f'(x)>0\) for all \(x\in\mathbb{R}\), then \(f\) is one-to-one.",因為 f'(x)>0，所以每個 x 都有 f(x)>0。正函數不可能取兩次相同的值，因此 f 是一對一。,2048,conflict,你說「f'(x) > 0 意味著 f(x) > 0」，這是正確嗎？請先確認這個邏輯是否成立。,AD-0093,,,,,
C3,Continuity,hard,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.","因為 [a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值，因此 f 是常數函數。",0,neutral,"你說「[a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值」——這一步成立嗎？為什麼？",AD-0086,,,,,
I1,Integration,easy,"Prove that if \(f\) is continuous on \([0,1]\), then \(\int_0^1 f(x)\,dx=\int_0^1 f(1-x)\,dx\).","在被積函數中把 x 換成 1-x。因為積分區間仍是 [0,1]，兩個積分自動相等。",8192,neutral,替換後，積分限會反轉嗎？,AD-0259,,,,,
C2,Continuity,medium,"Prove that if \(f\) is continuous on \([a,b]\) and \(f(x)\neq 0\) for all \(x\in[a,b]\), then \(f\) has the same sign on all of \([a,b]\).",函數從不等於零，所以它不可能變號，因此在整個區間上同號。,8192,neutral,「從不等於零」確實排除了零點，但連續性還沒被用上。若 \(f\) 只是不為零卻不連續，它真的一定保持同一正負號嗎？,AD-0159,,,,,
L1,Limits,easy,"Prove that if \(a_n\to 0\) and \((b_n)\) is bounded, then \(a_nb_n\to 0\).",由極限的乘法法則，lim(a_n b_n)=(lim a_n)(lim b_n)=0，所以乘積趨近零。,2048,neutral,b_n 有界是否意味著 b_n 有極限？,AD-0287,,,,,
I3,Integration,hard,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",取 g(x)=sign(f(x))，則假設給出 integral_a^b |f(x)| dx=0，所以 f=0。,2048,conflict,你為什麼能說 \( g(x) = \text{sign}(f(x)) \) 是連續函數？,AD-0118,,,,,
I2,Integration,medium,"Prove that if \(f\) is continuous on \([a,b]\), \(\int_a^b f(x)\,dx=0\), and \(f(x)\ge 0\) for all \(x\), then \(f(x)=0\) for all \(x\in[a,b]\).",積分平均值是零，所以積分中值定理給出某個 c 使 f(c)=0。再由連續性可得所有 x 都有 f(x)=0。,2048,conflict,"假設存在 x₀ ∈ [a,b] 使 f(x₀) > 0，會導致 ∫ₐᵇ f(x)dx > 0 吗？",AD-0263,,,,,
I1,Integration,easy,"Prove that if \(f\) is continuous on \([0,1]\), then \(\int_0^1 f(x)\,dx=\int_0^1 f(1-x)\,dx\).","在被積函數中把 x 換成 1-x。因為積分區間仍是 [0,1]，兩個積分自動相等。",2048,conflict,"你說「在被積函數中把 $x$ 换成 $1-x$」，這是一個很自然的想法——但請問：**這個變數替換是否真的能直接推出兩個積分相等？**  

更進一步地，你是否確認了變數替換後的積分限仍然正確，且函數變換過程**嚴格符合積分的定義與連續性假設**？  

請先回答：  
👉 **在變數替換 $x \mapsto 1-x$ 下，$\int_0^1 f(x)\,dx$ 等於 $\int_0^1 f(1-x)\,dx$ 吗？還是需要額外的步驟來驗證？**",AD-0033,,,,,
I2,Integration,medium,"Prove that if \(f\) is continuous on \([a,b]\), \(\int_a^b f(x)\,dx=0\), and \(f(x)\ge 0\) for all \(x\), then \(f(x)=0\) for all \(x\in[a,b]\).",積分平均值是零，所以積分中值定理給出某個 c 使 f(c)=0。再由連續性可得所有 x 都有 f(x)=0。,0,neutral,,AD-0261,,,,,
S3,Sequences and Series,hard,"Prove that if a power series \(\sum c_nx^n\) converges at \(x=r>0\), then it converges absolutely for every \(x\) with \(|x|<r\).",使用比值判別法：|c_{n+1}x^{n+1}/(c_nx^n)|=|x|/r<1，因為級數在 r 收斂。,8192,conflict,"你說「|c_{n+1}x^{n+1}/(c_nx^n)| = |x|/r < 1」，但這個等式是錯的——它假設了 $|c_{n+1}/c_n| = 1/r$，這並不是由收斂於 $x = r$ 所能推出的。

請問：你如何從「$\sum c_n r^n$ 收斂」推出 $|c_{n+1}/c_n|$ 的行為？是否真的可以斷言 $\limsup |c_{n+1}/c_n| = 1/r$？",AD-0060,,,,,
S2,Sequences and Series,medium,"Prove that if a sequence \((x_n)\) is increasing and bounded above, then the sequence \((\sin x_n)\) need not be increasing, but it must have a convergent subsequence.",因為 x_n 遞增且 sine 連續，所以 sin(x_n) 也遞增。它又有界，因此有收斂子數列。,2048,conflict,「遞增」在兩個層次上被使用：一個是 \(x_n\) 的單調性，另一個是你想推給 \(\sin x_n\) 的單調性。連續函數保單調性嗎？,AD-0203,,,,,
C1,Continuity,easy,"Prove that if \(f\) is continuous on \([0,1]\) and \(f(x)>0\) for every \(x\in[0,1]\), then there exists \(c>0\) such that \(f(x)\ge c\) for all \(x\in[0,1]\).","因為每一點都有 f(x)>0，所以令 c=inf_{x in [0,1]} f(x)。那麼 c 自動大於 0，因此結論成立。",0,neutral,"為什麼你認為 inf_{x∈[0,1]} f(x) 一定大於 0？能否舉出一個連續正函數的例子，其下界為 0？",AD-0076,,,,,
D2,Differentiation,medium,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(|f'(x)|\le M\) for all \(x\), then \(|f(x)-f(y)|\le M|x-y|\) for all real \(x,y\).",直接把不等式 |f'|<=M 從 y 積分到 x，就立即得到 |f(x)-f(y)|<=M|x-y|。,2048,conflict,"你目前的嘗試是「把 $|f'(x)| \le M$ 從 $y$ 積分到 $x$」，這聽起來很自然，但請問：**你如何從導數的絕對值不等式，推出 $|f(x) - f(y)|$ 的顯式上界？**

特別是，積分 $f'(x)$ 需要什麼前提才能保證它能被 $|f'(x)|$ 控制？  
——你是否真的確保了 $f$ 是可微且可積的？更關鍵的是：**你是否明確使用了中值定理，而不是直接積分？**

請先回答：  
👉 **你是否在證明中使用了微分中值定理（Mean Value Theorem）？如果沒有，那積分操作缺少什麼關鍵連結？**",AD-0023,,,,,
L2,Limits,medium,"Prove that if \(a_n\to L\) and \(f\) is continuous at \(L\), then \(f(a_n)\to f(L)\).",因為 a_n 趨近 L，所以最後 a_n 會等於 L，因此最後 f(a_n)=f(L)，這就證明了收斂。,8192,neutral,數列收斂時，是否會有某個 N 之後所有 a_n 等於 L？,AD-0294,,,,,
I2,Integration,medium,"Prove that if \(f\) is continuous on \([a,b]\), \(\int_a^b f(x)\,dx=0\), and \(f(x)\ge 0\) for all \(x\), then \(f(x)=0\) for all \(x\in[a,b]\).",積分平均值是零，所以積分中值定理給出某個 c 使 f(c)=0。再由連續性可得所有 x 都有 f(x)=0。,2048,neutral,"你說「積分平均值是零」，這句話的邏輯基礎是否正確？  
請先釐清：積分為零，是否等同於函數值的「平均值」為零？  
——特別是，當 $f(x) \ge 0$ 時，積分為零，能否推出 $f(x)$ 在某點為零，且整體為零？  

請問：你怎麼知道「積分平均值」是零？這個說法在數學上是否成立？",AD-0037,,,,,
D3,Differentiation,hard,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",因為 f'(x) 永不為零，而且導數是連續的，所以 f' 同號，故 f 單調並且至多有一個零點。,8192,neutral,學生說「導數是連續的」，這是否是已知條件？若不是，這個假設是否足以支持「f' 同號」？,AD-0104,,,,,
L1,Limits,easy,"Prove that if \(a_n\to 0\) and \((b_n)\) is bounded, then \(a_nb_n\to 0\).",由極限的乘法法則，lim(a_n b_n)=(lim a_n)(lim b_n)=0，所以乘積趨近零。,0,neutral,乘法法則需要兩個序列都收斂才能用，這裡只有一個收斂。若 \(b_n\) 不收斂，乘積法則失效。那我們該怎麼處理一般有界但不收斂的 \(b_n\)？,AD-0211,,,,,
D2,Differentiation,medium,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(|f'(x)|\le M\) for all \(x\), then \(|f(x)-f(y)|\le M|x-y|\) for all real \(x,y\).",直接把不等式 |f'|<=M 從 y 積分到 x，就立即得到 |f(x)-f(y)|<=M|x-y|。,8192,conflict,,AD-0250,,,,,
